Cargo.lock	4358	2bef7e7bceaeb1d25ef031d679b0d4beca7f2afb
Cargo.toml	526	7cd3f8fa52e209bca102dd8d4fe2bc13d9ae870e
DECISIONES_PENDIENTES.md	1444	ae98b516a27fc2228df0b36b1c9eb0aae55ccebe
DEPENDENCIAS.md	1012	b97c2af9e1a20cd5c57bbe4688e6f8f865f84945
MANIFIESTO.tsv	1942	f67bdf8fceeb0991666560b1d5884b4c794fe170
PROTOCOLO_CUALIFICACION.md	4379	78a860d6985fc7383f4cba44fa2b010d01231c66
README.md	852	dc73b9da88f4eec9fd3f5c63fab0528ce15e3cf4
evidencias/ARBOL_DEPENDENCIAS.txt	823	871c6b6ceeaa952a2be6439d2c807af93de0ccdd
evidencias/COMPILACION.txt	1316	9d15a8328d302d3c7e39a94826b993382ef85305
insumos/parametros.candidatos.txt	261	97d1607b9316090c22fb513b6ea67a88f09b8ec3
rust-toolchain.toml	51	687fc44dbbb30dd7f6903345d2660fdc79b089f1
src/diagnostico.rs	1889	4a5a2b1f6042910de273dce1b5ddee30d4acd619
src/lib.rs	1583	3648769e55ec6c08baaf6877f0a70fafbd1c6ad7
src/parametros.rs	3558	388c97f5abc0e11126b832446e63e34d50224f80
src/plantillas.rs	3697	e5da52e52d6fd98a39190c19964c2bc3e4617690
src/regiones.rs	775	c3c9216bded2a5e2348b403acc6c1a763c60e2ce
src/residuo.rs	2789	2025200648bd59eed7d28619bc1710f8a208718b
