I01	recuperacion	CONFORME
I02	recuperacion	CONFORME
I03	carga_base	BASE_DISTINTA
I04	contexto	DOCUMENTO_DISTINTO
I05	contexto	IDENTIDAD
I06	cobertura	FALTA_SOLICITUD
I07	cobertura	SOLICITUD_DISTINTA
I08	cobertura	FALTA_BASE
I09	cobertura	BASE_DISTINTA
I10	cuerpo	CONTENIDO_DISTINTO
I11	recepcion	COMUNICACION
I12	protocolo	NEGATIVA_PROVEEDOR
I13	protocolo	ESQUEMA_INVALIDO
I14	recuperacion	CONFORME
I15	recuperacion	CONFORME
I16	cuerpo	CONTENIDO_DISTINTO
I17	atribucion	IDENTIDAD
I18	apertura_archivo	IO
I19	recuperacion	CONTENIDO_DISTINTO
I20	instalacion_contexto	LIMITE_CONTEXTO
I21	recepcion	LIMITE_RECEPCION
I22	escritura_archivo	IO
I23	recuperacion	CONFORME
I24	recuperacion	CONFORME
